,XFo
0,0.8589130894607172
1,0.860504568966272
2,0.8621076376233301
3,0.8635884699927522
4,0.8648496269298188
5,0.8657476440971213
6,0.8663123656163584
7,0.866668616551796
8,0.8669249734923989
9,0.8671430671818046
10,0.8673520137830497
11,0.8675579837369284
12,0.8677572475916374
13,0.8679601132243447
14,0.8683599474850991
15,0.8685572637259241
16,0.8687535358679702
17,0.8689450553018153
18,0.8691357111781131
19,0.869321266726171
20,0.8695047170208219
21,0.8696878449498767
22,0.8698671530889617
23,0.8700412850176241
24,0.87021416946689
25,0.8703833478035605
26,0.8705466813870946
27,0.8707059176700164
28,0.870862768182754
29,0.8710144778944533
30,0.8711629900550533
31,0.8713069182150514
32,0.8714448078683259
33,0.8715793308545
34,0.8717089198252747
35,0.8718300714791829
36,0.8719489544591342
37,0.8720629037097568
38,0.8721703531661852
39,0.8722728520480905
40,0.8724590154226936
41,0.8725444963210799
42,0.8726240773716386
43,0.8726966888243259
44,0.872764095414221
45,0.8728252768975859
46,0.8728795700935755
47,0.8729280878550455
48,0.8729702892364014
49,0.8730056433639201
50,0.8730349168031375
51,0.8730573891031297
52,0.8730735939669484
53,0.8730834642779688
54,0.873086781033351
