"Profile","Distance (microns)","SiO2 (wt%)","TiO2 (wt%)","Al2O3 (wt%)","Cr2O3 (wt%)","FeO (wt%)","MnO (wt%)","MgO (wt%)","CaO (wt%)","NiO (wt%)","P2O5 (wt%)","Total (wt%)","Fo","Fo_err","XFo_(mol fraction)","Fo_sd","Zone"
"Ol2B",5.12607,40.1237230246818,,0.037638,0.042876,14.4539438610945,0.18755,46.2021173463172,0.217378,0.244896,0.008014,101.518136232093,85.069910335149,0.037397396329944,0.85069910335149,0.000373973963299,1
"Ol2B",10.1162,39.9760681049959,,0.035951,0.044427,14.4855267046738,0.187984,46.1500851339908,0.225238,0.245933,0.014427,101.365639943661,85.0278274598797,0.037449269763954,0.850278274598797,0.00037449269764,1
"Ol2B",15.2475,39.7804719315832,,0.035038,0.045646,14.5190267176717,0.187247,46.1159607576468,0.220859,0.245303,0.017475,101.167027406902,84.9889619904224,0.037517719124914,0.849889619904224,0.000375177191249,1
"Ol2B",20.2347,39.6645017281833,,0.032676,0.043778,14.559892697383,0.188117,45.9442445081723,0.219786,0.241928,0.006575,100.901498933739,84.9053197502727,0.037697809828295,0.849053197502727,0.000376978098283,1
"Ol2B",25.366,39.8744906321966,,0.029659,0.041768,14.7091292010694,0.186749,46.1675950180624,0.220825,0.241332,0.00406,101.475607851328,84.8366494490294,0.037845558300319,0.848366494490294,0.000378455583003,1
"Ol2B",30.4489,39.5702759379209,,0.030673,0.04256,14.656457493886,0.188071,45.7998874525595,0.224677,0.237492,0.004864,100.754957884366,84.7798419950478,0.038033991909664,0.847798419950477,0.000380339919097,1
"Ol2B",35.4967,39.661084748976,,0.031999,0.042825,14.6614017729128,0.193588,45.8262517666445,0.219226,0.233925,0.006742,100.877043288533,84.7829152289994,0.037996852520792,0.847829152289994,0.000379968525208,1
"Ol2B",40.5684,39.4260379974424,,0.031661,0.043288,14.6945990749499,0.195282,45.6673694662906,0.215417,0.237934,0.004298,100.515886538683,84.708780248882,0.038175685568113,0.84708780248882,0.000381756855681,1
"Ol2B",45.6245,39.406778660092,,0.029281,0.04046,14.7745147686075,0.189449,45.5493767247629,0.217629,0.23809,0.002557,100.448136153462,84.6047276644132,0.03832085316273,0.846047276644132,0.000383208531627,1
"Ol2B",50.7075,39.2071442385252,,0.028468,0.039921,14.7852105558899,0.193706,45.5934498988748,0.217444,0.233047,0.001583,100.29997369329,84.6078983690314,0.038278617160692,0.846078983690314,0.000382786171607,1
"Ol2B",55.7553,39.1971003905522,,0.029966,0.040712,14.7760283234116,0.194358,45.3900964724982,0.218615,0.235404,0.004292,100.086572186462,84.5577077744118,0.038371725173384,0.845577077744118,0.000383717251734,1
"Ol2B",60.8865,39.2135640176419,,0.030627,0.040862,14.7710840443848,0.189039,45.4496897711281,0.217309,0.234154,0.001704,100.148032833155,84.5791978815717,0.038277661933506,0.845791978815717,0.000382776619335,1
"Ol2B",65.8799,39.1089837449332,,0.027621,0.041315,14.9009470465785,0.194636,45.5113723172894,0.21859,0.233822,0.000694,100.237981108801,84.4824728532177,0.038442827096446,0.844824728532176,0.000384428270964,1
"Ol2B",71.0112,39.0591786843659,,0.030024,0.040627,14.904680481762,0.195133,45.4646129677801,0.21245,0.23301,0.001725,100.141441133908,84.4657052689436,0.038453568609775,0.844657052689436,0.000384535686098,1
"Ol2B",76.083,39.144188985251,,0.027799,0.040108,14.8782437245166,0.189537,45.4807300201641,0.221572,0.23751,0.001458,100.221146729932,84.4936292789965,0.038400947885727,0.844936292789965,0.000384009478857,1
"Ol2B",81.1224,39.015689858091,,0.025451,0.038508,14.8819771597001,0.196613,45.3265236547611,0.216017,0.233295,0.000946,99.9350206725522,84.4457832640936,0.038472225647233,0.844457832640936,0.000384722256472,1
"Ol2B",86.2053,38.9633997217366,,0.025645,0.040149,14.9487753783887,0.194815,45.2819530407608,0.217838,0.234403,0.001599,99.908577140886,84.3739016107149,0.03865182821454,0.843739016107149,0.000386518282145,1
"Ol2B",91.253,38.9743754731298,,0.02728,0.038994,14.9842934644588,0.189665,45.378058427199,0.218081,0.233959,0.004374,100.049080364788,84.3705651533062,0.038619540983532,0.843705651533062,0.000386195409835,1
"Ol2B",96.3248,38.8625470627085,,0.027942,0.040379,14.8438355786363,0.192685,45.2824504806492,0.217327,0.236015,0.005261,99.7084421219939,84.466700978618,0.038465361868703,0.84466700978618,0.000384653618687,1
"Ol2B",101.456,38.95791184604,,0.028108,0.040107,14.9790464744711,0.191197,45.2940905740376,0.222379,0.234549,0.001073,99.9484618945487,84.3507499985211,0.038653738870302,0.843507499985211,0.000386537388703,1
"Ol2B",111.586,39.0030573895063,,0.028622,0.042078,14.9253657307516,0.187546,45.1552053571973,0.21078,0.234588,0.003855,99.7910974774552,84.3576016876147,0.038769695214327,0.843576016876147,0.000387696952143,1
"Ol2B",116.642,38.7093007225015,,0.030325,0.042862,14.8382858776878,0.192227,45.0790970542725,0.217322,0.233551,0.008507,99.3514776544619,84.412476429733,0.038710196490428,0.84412476429733,0.000387101964904,1
"Ol2B",121.714,38.8232000294121,,0.028527,0.041021,14.8883340898774,0.193179,45.1796793997064,0.212894,0.23496,0.01079,99.6125845189959,84.3974906606486,0.038674050670032,0.843974906606486,0.0003867405067,1
"Ol2B",126.762,38.7879947890943,,0.027589,0.043576,14.898222647931,0.195142,45.1879369018538,0.22253,0.234589,0.004229,99.6018093388791,84.3911530093372,0.038695348496702,0.843911530093372,0.000386953484967,1
"Ol2B",131.839,38.8296198085289,,0.026553,0.042377,14.8320298511641,0.192424,45.2463363447515,0.215291,0.233483,0.007117,99.6252310044445,84.4666720659092,0.038554880405911,0.844666720659092,0.000385548804059,1
"Ol2B",136.887,38.6465525588763,,0.027458,0.041502,14.8839952327723,0.186559,45.2352931792291,0.218618,0.234335,0.004465,99.4787779708777,84.4175175706547,0.038652406823161,0.844175175706547,0.000386524068232,1
"Ol2B",152.08,38.7027773985603,,0.026121,0.041287,14.7858159778116,0.193843,45.2465353207069,0.214565,0.231533,0.002915,99.4453926970788,84.5076304513893,0.038475408005823,0.845076304513893,0.000384754080058,1
"Ol2B",157.211,38.7085759087303,,0.024836,0.04039,14.7643234995931,0.19129,45.1756003926215,0.219238,0.234629,0.003213,99.3620958009449,84.5061335845887,0.03853380622693,0.845061335845887,0.000385338062269,1
"Ol2B",162.21,38.5472530722152,,0.026371,0.039535,14.7572602438405,0.18738,45.2062426897468,0.216892,0.234412,0.001444,99.2167900058024,84.5212709247564,0.038534231568612,0.845212709247564,0.000385342315686,1
"Ol2B",167.341,38.5138080939132,,0.027514,0.040526,14.7596819315271,0.186387,45.2503158638587,0.215775,0.23343,-0.00019,99.227247889299,84.5318699174642,0.038509301463464,0.845318699174642,0.000385093014635,1
"Ol2B",187.6,38.5228164936416,,0.028303,0.039435,14.7042858256962,0.186568,45.3568674879533,0.219053,0.234337,0.002671,99.2943368072912,84.6116215805489,0.038329194179582,0.846116215805488,0.000383291941796,1
"Ol2B",192.731,38.4114022625182,,0.028583,0.041684,14.7824861572425,0.194896,45.3584592955962,0.220119,0.237708,0.005056,99.2803937153569,84.542891961693,0.03846488299304,0.84542891961693,0.00038464882993,1
"Ol2B",202.856,38.4891644256908,,0.024966,0.040098,14.8020614660425,0.190405,45.6394133445627,0.221008,0.23164,0.009806,99.648562236296,84.6061863271595,0.038732281074424,0.846061863271595,0.000387322810744,1
