,"Pressure_bars","P_MPa","H2O_liq","CO2_liq","XH2O_fl","XCO2_fl","FluidProportion_wt"
248,740,74,0.495386623403255,0.048627964421532,0.07254598743216,0.92745401256784,0.176948035300118
249,730,73,0.495299098988961,0.047942200090755,0.073390948696981,0.926609051303019,0.177724172021153
250,720,72,0.495209143373191,0.047256212402141,0.074257149688362,0.925742850311638,0.178502960946839
251,710,71,0.495116652279378,0.046569997863495,0.075145452334248,0.924854547665752,0.179284510114192
252,700,70,0.495021515264268,0.045883553030164,0.076056766474396,0.923943233525604,0.180068933694349
253,690,69,0.49492361525447,0.045196874509622,0.076992053232144,0.923007946767856,0.180856352452548
254,680,68,0.494822828040615,0.044509958968911,0.077952328675266,0.922047671324735,0.181646894247738
255,670,67,0.49471902172528,0.043822803122501,0.078938667778466,0.921061332221534,0.182440694598176
256,660,66,0.494612056114813,0.043135403833037,0.079952208822134,0.920047791177866,0.183237897189953
257,650,65,0.494501782062963,0.042447757933419,0.080994157964051,0.919005842035949,0.184038654713521
258,640,64,0.494388040737346,0.0417598624211,0.082065794518132,0.917934205481868,0.184843129403988
259,630,63,0.494270662823564,0.041071714379543,0.083168476496452,0.916831523503548,0.185651493917749
260,620,62,0.494149467644617,0.040383310998306,0.084303646760379,0.915696353239621,0.186463932195007
261,610,61,0.494024262192273,0.039694649593935,0.085472839731873,0.914527160268127,0.187280640409776
262,600,60,0.493894840056645,0.039005727618773,0.086677688757948,0.913322311242052,0.188101828033986
263,590,59,0.493760980242861,0.038316542675928,0.087919934193688,0.912080065806312,0.188927719008621
264,580,58,0.49362244586096,0.037627092535159,0.089201432281538,0.910798567718462,0.189758553040981
265,570,57,0.493478982671528,0.03693737515017,0.090524164934984,0.909475835065016,0.190594587045114
266,560,56,0.493330317469463,0.036247388678672,0.091890250522971,0.908109749477029,0.191436096741732
267,550,55,0.493176156284747,0.035557131502543,0.093301955771589,0.906698044228411,0.192283378441415
268,540,54,0.493016182372094,0.034866602252832,0.094761708961213,0.905238291038788,0.193136751034572
269,530,53,0.492850053968119,0.034175799835505,0.09627211449609,0.90372788550391,0.193996558213653
270,520,52,0.492677401775476,0.033484723463387,0.097835969111263,0.902164030888737,0.194863170962784
271,510,51,0.492497826135281,0.032793372684941,0.09945627992088,0.90054372007912,0.195736990362992
272,500,50,0.49231089385053,0.032101747425935,0.101136284471642,0.898863715528358,0.19661845073427
273,490,49,0.492116134604179,0.031409848029683,0.102879473112926,0.897120526887074,0.197508023185302
274,480,48,0.491913036900555,0.030717675304322,0.104689614107144,0.895310385892856,0.198406219633857
275,470,47,0.491701043474712,0.030025230576609,0.10657078166788,0.89342921833212,0.199313597353835
276,460,46,0.491479546064175,0.029332515752922,0.108527387563196,0.891472612436803,0.200230764154091
277,450,45,0.491247879471996,0.028639533387991,0.11056421647025,0.88943578352975,0.201158384259693
278,440,44,0.49100531474729,0.027946286763574,0.112686466211357,0.887313533788642,0.202097185067654
279,430,43,0.490751051405808,0.027252779979351,0.114899792874126,0.885100207125874,0.203047964852327
280,420,42,0.490484208456185,0.026559018055627,0.11721036225019,0.88278963774981,0.204011601655849
281,410,41,0.490203814074889,0.025865007053888,0.119624908031039,0.880375091968961,0.204989063514749
282,400,40,0.489908793621058,0.025170754212763,0.122150798457429,0.877849201542571,0.205981420334662
283,390,39,0.489597955753186,0.024476268109496,0.124796112099777,0.875203887900223,0.206989857641466
284,380,38,0.489269976188542,0.02378155884293,0.12756972520826,0.87243027479174,0.208015692672894
285,370,37,0.488923378793644,0.023086638256211,0.130481411154407,0.869518588845593,0.209060393104528
286,360,36,0.488556513224489,0.022391520184838,0.133541956346425,0.866458043653575,0.210125599207515
287,350,35,0.4881675286547,0.021696220767465,0.136763293151451,0.863236706848549,0.211213149863002
288,340,34,0.487754342530328,0.021000758785604,0.140158654981372,0.859841345018628,0.212325113530532
289,330,33,0.487314603420181,0.020305156101876,0.143742756170114,0.856257243829886,0.213463825033245
290,320,32,0.486845646473946,0.0196094381577,0.147532002654443,0.852467997345557,0.214631929689512
291,310,31,0.486344439820339,0.018913634581934,0.151544738873487,0.848455261126513,0.215832436409869
292,300,30,0.485807519665291,0.018217779924221,0.155801538500293,0.844198461499707,0.217068781989228
293,290,29,0.485230911235071,0.01752191454571,0.160325548160185,0.839674451839815,0.218344909421287
294,280,28,0.484610031908661,0.016826085709395,0.165142895087076,0.834857104912924,0.219665363854207
295,270,27,0.483939571580552,0.016130348917146,0.170283173847892,0.829716826152108,0.221035411106899
296,260,26,0.483213344105337,0.015434769575108,0.175780027800812,0.824219972199188,0.22246118482134
297,250,25,0.482424101108814,0.014739425058438,0.181671849302477,0.818328150697523,0.223949870907803
298,240,24,0.481563296978489,0.01404440732272,0.188002624663375,0.811997375336625,0.225509940337068
299,230,23,0.480620789504324,0.013349826204882,0.194822959370443,0.805177040629557,0.227151445685643
300,220,22,0.479584455075706,0.012655813649723,0.20219132680591,0.79780867319409,0.228886402316412
301,210,21,0.478439689021738,0.011962529166791,0.210175596094014,0.789824403905986,0.230729283334959
302,200,20,0.477168750206116,0.011270166944039,0.218854906048523,0.781145093951477,0.232697668823683
303,190,19,0.475749891028065,0.010578965223173,0.228321973841992,0.771678026158008,0.234813107649525
304,180,18,0.474156189129483,0.00988921878809,0.238685939909131,0.761314060090869,0.237102274755451
305,170,17,0.472353957849829,0.009201295797199,0.250075875123272,0.749924124876728,0.239598545737636
306,160,16,0.47030055398477,0.00851566074448,0.262645088905083,0.737354911094917,0.242344168444715
307,150,15,0.467941310538803,0.007832906170416,0.276576376638336,0.723423623361663,0.245393301348129
308,140,14,0.465205180473993,0.007153797000611,0.292088302077262,0.707911697922738,0.24881632879187
309,130,13,0.46199845428849,0.006479333274018,0.309442472490483,0.690557527509517,0.252706084310306
310,120,12,0.458195561382179,0.0058108398472,0.328951420927058,0.671048579072942,0.257186962740868
311,110,11,0.453625409988255,0.005150095391457,0.350985941782327,0.649014058217673,0.262428452077569
312,100,10,0.448050865953531,0.004499518481655,0.375979116857994,0.624020883142006,0.268665462146606
313,90,9,0.441137726134398,0.003862432466291,0.404421094970276,0.595578905029724,0.276229061159575
314,80,8,0.43240795483696,0.003243430253499,0.436832941077791,0.563167058922209,0.28559280391552
315,70,7,0.421170574905689,0.002648835623392,0.473699056798132,0.526300943201868,0.297441203024249
316,60,6,0.406424138962151,0.002087173553582,0.515329368807092,0.484670631192908,0.312766373501769
317,50,5,0.386729483313111,0.00156935710376,0.561631957562734,0.438368042437266,0.33299417209202
318,40,4,0.360053758794867,0.001107981421661,0.611846622499504,0.388153377500496,0.360138943860319
319,30,3,0.323527780171187,0.000715046129214,0.664458694638928,0.335541305361072,0.397044562209784
320,20,2,0.272690177686074,0.000398458940979,0.717693490139513,0.282306509860487,0.448135169597852
321,10,1,0.197745058650064,0.000159888096137,0.771178854905932,0.228821145094068,0.523130354102501
322,5,0.5,0.141187721878248,1.3685358E-13,0.799736206089566,0.200263793910434,0.579630645425202
323,1,0.1,0.063516469443982,1.17155538611907E-05,0.829109315596792,0.170890684403208,0.656889124740556
